时间,省份,地市,区县,所属E-NODEB,小区中文名,小区英文名,跟踪区码,物理小区识别码,本地小区标识,中心载频的信道号,CGI,载频数量,覆盖类型,覆盖场景,厂家名称,设备维护状态,经度,纬度,工作频段,LTE小区的LTE邻区数量,LTE小区的TD邻区数量,LTE小区的GSM邻区数量,电子下倾角,机械下倾角,总下倾角,方位角,天线挂高,管理状态,最大发射功率,频段指示,软件版本,设备版本号,补丁信息,是否开启头压缩功能,是否开启SPS功能,设备型号,设备类型(大类),分布式或一体化,小区所属空间资源,基站所属空间资源
2017-10-15 0:00:00,陕西省,渭南市,合阳县,渭南合阳上合义村西北-HLH-WNGO383TL,渭南合阳上合义村西北-HLH-WNGO383TL-1,渭南合阳上合义村西北-HLH-WNGO383TL-1,36938,286,1,38400,460-00-729233-1,1,室外,高速公路,华为,ENABLED,110.279457,35.299296,F,17,0,18,3,4,7,106,0,Unlocked,39.9815,39,V100R011C10SPC210,BTS3900 LTE,BTS3900 V100R011C10SPC210,0,0,RRU3168e-fa,宏基站,分布式,渭南合阳西禹上合义村西北01楼综合机房,渭南合阳西禹上合义村西北01楼综合机房
2017-10-15 0:00:00,陕西省,延安市,安塞县,yaasyangjiagou-NLH-YABO245TL,yaasyangjiagou-NLH-YABO245TL-1,yaasyangjiagou-NLH-YABO245TL-1,37149,91,0,38400,460-00-1024114-0,1,室外,其他,诺西,ENABLED,109.410627,36.710051,F,20,0,12,3,6,9,82,25.5,Unlocked,40,39,TL16A,TL16A,Patch Release Version:TL16A,1,0,T-RRH8x10-1935,宏基站,一体化,延安安塞杨家沟01楼综合机房,延安安塞杨家沟01楼综合机房
