时间,省份,地市,区县,CGI,设备维护状态,RRC连接建立成功率,E-RAB建立成功率,无线接通率,无线掉线率,E-RAB掉线率（小区级）,RRC连接重建比率,切换成功率,LTE到2G切换成功率,LTE到3G切换成功率,异系统切换比,小区用户面上行丢包率,小区用户面下行丢包率,小区用户面下行弃包率,小区用户面下行平均时延,空口上行业务字节数,空口下行业务字节数,上行业务信息PRB占用率,上行控制信息PRB占用率,下行业务信息PRB占用率,下行控制信息PRB占用率,上行PRB平均利用率,下行PRB平均利用率,无线利用率,eNodeB寻呼拥塞率,上行每PRB平均吞吐量,下行每PRB平均吞吐量,RRC连接平均数,RRC连接最大数,平均E-RAB数,RRC连接平均建立时长,E-RAB平均建立时长,MAC层上行误块率,MAC层下行误块率,上行初始HARQ重传比率,下行初始HARQ重传比率,上行QPSK编码比例,上行16QAM编码比例,上行64QAM编码比例,下行QPSK编码比例,下行16QAM编码比例,下行64QAM编码比例,Rank1的下行传输TB数,Rank2的下行传输TB数,下行传输TB数,下行双流流量占比,TM2占比,TM3占比,TM7占比,TM8占比,RRC连接建立成功次数,RRC连接建立请求次数,E-RAB建立成功数,E-RAB建立请求数,eNB请求释放上下文数,正常的eNB请求释放上下文数,初始上下文建立成功次数,遗留上下文个数,eNB请求释放的E-RAB数,正常的eNB请求释放的E-RAB数,切出失败的E-RAB数,遗留E-RAB个数,切换入E-RAB数,RRC连接重建请求次数,eNB间S1切换出成功次数,eNB间X2切换出成功次数,eNB内切换出成功次数,eNB间S1切换出请求次数,eNB间X2切换出请求次数,eNB内切换出请求次数,切换至2G成功次数,切换至2G请求次数,切换至3G成功次数,切换至3G请求次数,小区上行丢包数,小区上行包数,小区下行丢包数,小区下行包数,小区下行弃包数,上行业务信道占用PRB平均数,下行业务信道占用PRB平均数,寻呼记录丢弃个数,寻呼记录接收个数,上行残留错误TB数,上行传输初始TB数,下行残留错误TB数,下行传输初始TB数,上行传输TB数,QPSK模式上行传输初始TB数,16QAM模式上行传输初始TB数,64QAM模式上行传输初始TB数,QPSK模式下行传输初始TB数,16QAM模式下行传输初始TB数,64QAM模式下行传输初始TB数,TM2下行传输TB数,TM1下行传输TB数,TM3下行传输TB数,TM4下行传输TB数,TM5下行传输TB数,TM6下行传输TB数,TM7下行传输TB数,TM8下行传输TB数,上行PUSCH PRB可用平均数,上行PUSCH PRB占用平均数,下行PDSCH PRB可用平均数,下行PDSCH PRB占用平均数,上行PUSCH TTI总数,下行PDSCH TTI总数,PDCCH信道CCE占用率,有效RRC连接平均数,有效RRC连接最大数,PDCCH信道CCE占用个数,PDCCH信道CCE可用个数,E-RAB建立成功率(QCI=1),无线接通率(QCI=1),E-RAB掉线率(QCI=1)(小区级),VoLTE用户切换成功率,eSRVCC切换成功率,eSRVCC切换中断时延-控制面,VoLTE语音上行每PRB平均吞吐量,VoLTE语音下行每PRB平均吞吐量,VoLTE语音上行每TTI占用RB数,VoLTE语音下行每TTI占用RB数,VoLTE业务下行iBLER,VoLTE业务上行iBLER,VoLTE下行平均时延,上行半持续调度次数占比,下行半持续调度次数占比,VoLTE语音总流量,VoLTE语音话务量,VoLTE语音峰值用户数,E-RAB建立成功率(QCI=2),无线接通率(QCI=2),E-RAB掉线率(QCI=2)(小区级),QCI2承载切换成功率,volte视频总流量,volte视频话务量,volte视频峰值用户数,E-RAB建立成功数（QCI=1）,E-RAB建立请求数（QCI=1）,eNB请求释放的E-RAB数（QCI=1）,正常eNB请求释放的E-RAB数（QCI=1）,切出失败的E-RAB数（QCI=1）,遗留E-RAB数（QCI=1）,切换入E-RAB数（QCI=1）,VoLTE用户eNB间S1切换出成功次数（QCI=1）,VoLTE用户eNB间X2切换出成功次数（QCI=1）,VoLTE用户eNB内切换出成功次数（QCI=1）,VoLTE用户eNB间S1切换出请求次数（QCI=1）,VoLTE用户 eNB间X2切换出请求次数（QCI=1）,VoLTE用户eNB内切换出请求次数（QCI=1）,E-RAB建立成功数（QCI=2）,E-RAB建立请求数（QCI=2）,eNB请求释放的E-RAB数（QCI=2）,正常eNB请求释放的E-RAB数（QCI=2）,切出失败的E-RAB数（QCI=2）,遗留E-RAB数（QCI=2）,切换入E-RAB数（QCI=2）,VoLTE用户eNB间S1切换出成功次数（QCI=2）,VoLTE用户eNB间X2切换出成功次数（QCI=2）,VoLTE用户eNB内切换出成功次数（QCI=2）,VoLTE用户eNB间S1切换出请求次数（QCI=2）,VoLTE用户eNB间X2切换出请求次数（QCI=2）,VoLTE用户eNB内切换出请求次数（QCI=2）
2017-10-15 8:00:00,陕西省,榆林地区,佳县,460-00-1025754-6,ENABLED,1,1,1,0,0.004367,0.007937,1,0,0,0,313.201441,0,0,3.3712,2565,8434,0.0035,0.0023,0.0008,0.0102,0.0058,0.011,0.0101,0,0.0958,0.3023,1.45,7,1.82,37,53.75,0.006843,0.006768,0.561192,0.186509,0.233668,0.766332,0,0.523464,0.04577,0.432458,26601,0,26649,0,0.25,0.25,0,0,375,375,442,442,294,294,350,2,380,380,2,3,13,3,0,61,0,0,61,0,0,0,0,0,6,19157,0,19989,0,0.2975,0.0775,0,60391,172,25134,152,22460,39239,5873,19261,0,11757,1028,9713,26601,26601,26601,26601,0,0,0,0,85,0.495,100,1.1,719944,2879777,0,0.1725,4,0,52873763,1,1,0,1,0,0,0.1279,0.072,0.04041,0.008913,1,1,0.0775,0,0,0.696,0.0475,2,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-15 8:00:00,陕西省,延安市,志丹县,460-00-1032237-2,ENABLED,0.9995,1,0.999457,0.00273,0.002373,0.009688,0.995253,1,0,0.003155,11874.952161,10.585969,554.004891,63.6807,22085.506,238527.966,0.0343,0,0.0499,0.0207,0.0343,0.0706,0.0646,0,0.0902,0.1342,8.25,18,10.941945,34.25,51.25,0.013095,0.000871,0.168271,0.000871,0.505738,0.494262,0,0.724596,0.212258,0.063146,299056,44966,356071,0.130707,0.930077,0.069923,0,0,1839,1840,1887,1887,1400,1396,1457,8,1837,1831,0,10,631,18,0,206,423,0,206,426,1,1,0,1,2172,182906,3,283391,157,2.7199,4.9384,0,110950,4407,336534,310,355761,393163,170198,166336,0,257783,75513,22465,299056,0,22483,0,0,0,0,0,79.25,2.7199,99,6.9919,720000,2880000,0.0625,1.33,6,4326830,69255264,1,0.9995,0,1,1,,0,0,0,0,1,1,4.5,0,0,0.168613,0.303058,6,0,0,0,0,0,0,0,10,10,0,0,0,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
